PlaceName,Etymology,Derivation,ReferenceTitle
Ab Kettleby,"'Ketil's farm/settlement'. 'Ab' refers to an early owner, OE Abba or ON Abbe/Abbi, and may be, in some cases, a feminine personal name.","bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name; Personal name (Uncertain) Unknown - Personal name","Cox; The Place-names of Leicestershire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD)"
Allexton,'*Aethellac's/Athellak's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); Cox; The Place-names of Leicestershire"
Anstey,"Probably, 'steep, narrow footpath' but the exact form and meaning of the term remains unclear.","ān-stiga Old English - A short ascending road, usually forking at either end.","Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); E. Ekwall; Dictionary of English Place-Names"
Appleby Magna,"'Apple farm/settlement'. 'Great' to distinguish from Appleby Parva, Leicestershire.","æppel Old English; bȳ Old Norse - A farmstead, a village.; magna Latin - Big, great.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Cameron; Place-names of Derbyshire; Watts; Cambridge Dictionary of English Place-names
Appleby Parva,'Apple farm/settlement'.,"æppel Old English; bȳ Old Norse - A farmstead, a village.; parva Latin - Small.","A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); E. Ekwall; Dictionary of English Place-Names"
Arnesby,'Iarund's/*Erendi's farm/settlement'.,"bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name","Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); A.D. Mills; Dictionary of English Place-Names"
Asfordby,"'Asfrothr's farm/settlement'. Some forms indicate that the original place-name may have been Aescabyrig, 'ash-tree fortification'.","bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name","Cox; The Place-names of Leicestershire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD)"
Ashby de la Zouche,'Ash-tree farm/settlement'. It was held by Alanus la Zouche who held the manor in the reign of Henry II.,"æsc Old English; bȳ Old Norse - A farmstead, a village.; Family name Unknown - Family name.","Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Ashby Folville,'Ash-tree farm/settlement'. The ON second element may have replaced an earlier OE element. It was held by Fulco de Foleuilla in the early part of Henry II's reign.,"æsc Old English; bȳ Old Norse - A farmstead, a village.; Family name Unknown - Family name.","E. Ekwall; Dictionary of English Place-Names; Cox; The Place-names of Leicestershire; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names"
Ashby Magna,'Ash-tree farm/settlement'.,"æsc Old English; bȳ Old Norse - A farmstead, a village.","A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD)"
Ashby Parva,'Ash-tree farm/settlement'.,"æsc Old English; bȳ Old Norse - A farmstead, a village.; parva Latin - Small.","A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD)"
Aston Flamville,'East farm/settlement'. It was held by Robert de Flamvile in 1247.,"ēast Old English - Eastern, east.; Family name Unknown - Family name.; tūn Old English - An enclosure; a farmstead; a village; an estate.","E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names"
Atterton,'Athelred's/Eadred's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); A.D. Mills; Dictionary of English Place-Names"
Aylestone,"'*Aegel's farm/settlement' or perhaps, 'Egill's farm/settlement'.",Personal name (Old English) Old English - Personal name; Personal name (Old Norse) Old Norse - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD)"
Bagworth,'*Baecga's enclosure'.,Personal name (Old English) Old English - Personal name; worð Old English - An enclosure.,"A.D. Mills; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Bardon,'Barrow hill'.,berg Old English; dūn Old English - A hill.,"A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); E. Ekwall; Dictionary of English Place-Names"
Barkby,'Barki's/Borkr's farm/settlement'.,"bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name","Cox; The Place-names of Leicestershire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); E. Ekwall; Dictionary of English Place-Names"
Barkby Thorpe,'Barkby's outlying farm/settlement'.,"Place-name Unknown - Place-name; þorp Old Norse - A secondary settlement, a dependent outlying farmstead or hamlet.","Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names"
Barkestone,'Bark's farm/settlement'.,Personal name (Old Norse) Old Norse - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); Cox; The Place-names of Leicestershire; E. Ekwall; Dictionary of English Place-Names"
Barlestone,'Berwulf's/Beornwulf's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD)"
Barrow Upon Soar,'Grove' on the River Soar.,bearu Old English - A grove.  (Usually refers to a wood of limited extent rather than to forest areas.); River-name Unknown - River-name,"A.D. Mills; Dictionary of English Place-Names; Cox; The Place-names of Leicestershire; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names"
Barsby,"'Barn's farm/settlement' or perhaps, 'child's farm/settlement'.","barn Old Norse - Child, offspring.; bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name","Cox; The Place-names of Leicestershire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); A.D. Mills; Dictionary of English Place-Names"
Barton in the Beans,'Barley farm/settlement'. ''In the Beans' is a late addition refers to the fertility of the land.,"bere-tūn Old English - A barley enclosure, a barley farm; later a demesne farm, an outlying grange.","A.D. Mills; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Barwell,'Boar spring/stream'.,bār Old English - A boar (wild or domestic).; wella Old English,"E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Beaumont Leys,'Beautiful hill'.,"bel Old French - Fair, beautiful.; mont Old French - Hill, mountain.","E. Ekwall; Dictionary of English Place-Names; Cox; The Place-names of Leicestershire; A.D. Mills; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); Watts; Cambridge Dictionary of English Place-names"
Beeby,'Bee farm/settlement'.,"bēo Old English - A bee.; bȳ Old Norse - A farmstead, a village.","E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Cox; The Place-names of Leicestershire; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD)"
Belgrave,"'Beautiful grove'. Originally, Merdegrave, 'marten/weasel grove', it was altered in the 12th century due to the association of the first element with OFr merde, 'excrement'.","bel Old French - Fair, beautiful.; grāf Old English - A grove, a copse.","Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); Cox; The Place-names of Leicestershire"
Belton,"Perhaps, 'farm/settlement near a beacon or funeral pyre'. Alternatively, *Bel may also represent an element meaning 'island' or 'glade'.",bēl Old English; tūn Old English - An enclosure; a farmstead; a village; an estate.,"E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); A.D. Mills; Dictionary of English Place-Names"
Bescaby,"Uncertain. Perhaps, 'Berg-Skald's farm/settlement'.","bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name","Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD)"
Billesdon,"'Bil's hill' or perhaps, 'sword hill', used topographically of a sharp ridge.","bill Old English - A bill, a sword; topographically a sharp ridge, a headland, the edge of a hill, a promontory.; dūn Old English - A hill.; Personal name (Old English) Old English - Personal name","Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); E. Ekwall; Dictionary of English Place-Names"
Bilstone,"Bildr's farm/settlement' or perhaps, 'angle/corner farm/settlement'.",Personal name (Old Norse) Old Norse - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"A.D. Mills; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names"
Birstall,'Fortification site'.,burh Old English - A fortified place.; stall Old English,"Watts; Cambridge Dictionary of English Place-names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names"
Bittesby,'*Byttel's farm/settlement'.,"bȳ Old Norse - A farmstead, a village.; Personal name (Old English) Old English - Personal name","A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); Watts; Cambridge Dictionary of English Place-names"
Bitteswell,'Broad valley spring/stream'.,bytme Old English - A bottom; a broad river-valley.; wella Old English,"E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD)"
Blaby,'*Blar's farm/settlement'.,"bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name","A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD)"
Blackfordby,"Orginally, 'dark-coloured ford' to which 'farm/settlement' was later added.","blæc Old English - Black, dark-coloured, dark.; bȳ Old Norse - A farmstead, a village.; ford Old English - A ford.","Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); E. Ekwall; Dictionary of English Place-Names"
Blaston,'*Bleath's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD)"
Bottesford,'Ford belonging to a dwelling'.,"bōðl Old English - A dwelling, a dwelling-place, a house.; ford Old English - A ford.","Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); E. Ekwall; Dictionary of English Place-Names; Cox; The Place-names of Leicestershire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Branston,'Brant's farm/settlement;.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cox; The Place-names of Leicestershire; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); E. Ekwall; Dictionary of English Place-Names"
Braunstone,'*Brant's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); A.D. Mills; Dictionary of English Place-Names"
Breedon on the Hill,"Bre hill'. The Celtic 'breg' appears to have been adopted as a proper name to which 'dun' was added by way of explanation (vida Bredon, Worcestershire).",brigā C; dūn Old English - A hill.,"Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names"
Brentingby and Wyfordby,"'Branting's/Brenting's farm/settlement'. Alternatively, perhaps 'farm/settlement at *Branting (= the steep place)'. Probably, 'Wigford's farm/settlement'. It is likely that this name was originally simply Wigford, to which ON by was later added. Wigford i","-ing Old English - Place-name forming suffix.; brant Old English - Steep.; bȳ Old Norse - A farmstead, a village.; ford Old English - A ford.; Personal name (Old English) Old English - Personal name; Place-name Unknown - Place-name; wēoh Old English - Holy.; wīg Old English - An idol; a shrine.","Cox; The Place-names of Leicestershire; A.D. Mills; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Bringhurst,'Wooded hill of Bryni's people'.,-ingas Old English - The people of . . . ; the people called after . . .; hyrst Old English - A wooded hill.; Personal name (Old English) Old English - Personal name,"Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); E. Ekwall; Dictionary of English Place-Names"
Brooksby,"Probably, 'Brok's farm/settlement' although 'brook farm/settlement' has also been suggested.","brōc Old English - A brook, a stream.  (Used of a stream with a muddy bed and a visible sediment load.); bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name","Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Cox; The Place-names of Leicestershire; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); A.D. Mills; Dictionary of English Place-Names"
Broughton Astley,'Brook farm/settlement'. It was held by Thomas de Estle in 1220.,"brōc Old English - A brook, a stream.  (Used of a stream with a muddy bed and a visible sediment load.); Family name Unknown - Family name.; tūn Old English - An enclosure; a farmstead; a village; an estate.","E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Bruntingthorpe,'Brenting's/Branting's outlying farm/settlement'.,"Personal name (Old English) Old English - Personal name; þorp Old Norse - A secondary settlement, a dependent outlying farmstead or hamlet.","E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); A.D. Mills; Dictionary of English Place-Names"
Buckminster,'Bucca's monastery church'.,"mynster Old English - A monastery, the church of a monastery or religious body, a church served by secular clergy.; Personal name (Old English) Old English - Personal name","Watts; Cambridge Dictionary of English Place-names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Cox; The Place-names of Leicestershire"
Burbage,'Fortification valley/brook'.,bǣce Old English - A beach.; burh Old English - A fortified place.,"A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); Watts; Cambridge Dictionary of English Place-names"
Burrough on the Hill,"'Fortification'. Later forms are OE erth-burh, 'earthen fortification'. There is an Iron Age hillfort on Burrow Hill, possibly the caput of the Corieltauvi.",burh Old English - A fortified place.,"Watts; Cambridge Dictionary of English Place-names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); A.D. Mills; Dictionary of English Place-Names; Cox; The Place-names of Leicestershire; E. Ekwall; Dictionary of English Place-Names"
Burton Lazars,'Fortification farm/settlement'. Roger de Mowbray founded a Hospital for St. Lazarus of the lepers here ca. 1138.,burh Old English - A fortified place.; Saint's Name Unknown - Saint's name.; tūn Old English - An enclosure; a farmstead; a village; an estate.,"A.D. Mills; Dictionary of English Place-Names; Cox; The Place-names of Leicestershire; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Burton on the Wolds,'Fortification farm/settlement'.,burh Old English - A fortified place.; tūn Old English - An enclosure; a farmstead; a village; an estate.; wald Old English,"Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); Cox; The Place-names of Leicestershire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Burton Overy,'Fortification farm/settlement'. It was held by Robert de Noveray in 1261.,"burh-tūn Old English - A fort enclosure; a farm with a palisade; a farm at, or belonging to, or which is, a fortification, fortified house, or manorhouse.; Family name Unknown - Family name.; tūn Old English - An enclosure; a farmstead; a village; an estate.","Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names"
Bushby,'Butr's/*Butsi's farm/settlement'.,"bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name","Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD)"
Cadeby,"'Kati's farm/settlement' or perhaps, 'boys' farm/settlement'.","bȳ Old Norse - A farmstead, a village.; kati Old Norse - Boy.; Personal name (Old Norse) Old Norse - Personal name","Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names"
Carlton,'Free peasants' farm/settlement'.,"ceorl Old English - A freeman of the lower class, a peasant.; tūn Old English - An enclosure; a farmstead; a village; an estate.","Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names"
Carlton Curlieu,'Free peasants' farm/settlement'. It was held by William de Curley in 1253.,"ceorl Old English - A freeman of the lower class, a peasant.; Family name Unknown - Family name.; tūn Old English - An enclosure; a farmstead; a village; an estate.","Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names"
Castle Donington,"'Farm/settlement connected with Dunna'. Alternatively, it has been suggested because of the frequency of names derived from OE Duningtun that they are more likely to represent a topographical term rather than a personal name. Thus, perhaps, 'farm/settleme","-ing Old English - Place-name forming suffix.; -ing- Old English - Connective particle, linking a first element to a final element.; castel Middle English - A large defensive building, a stronghold, a castle; a large mansion, built in the style of a medieval caste.; dūn Old English - A hill.; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.","Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); A.D. Mills; Dictionary of English Place-Names"
Catthorpe,'Outlying farm/settlement'. Simon Mallore and Isabel le Cat apparently donated the land to Leicester Abbey in the 12th century.,"Family name Unknown - Family name.; þorp Old Norse - A secondary settlement, a dependent outlying farmstead or hamlet.","A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); E. Ekwall; Dictionary of English Place-Names"
Charley,'Cairn wood/clearing'.,"carn C; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.","E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names"
Chilcote,'Children's cottage(s)'.,"cild Old English - A child, a young person, a boy, a son.; cot Old English - A cottage, a hut, a shelter, a den.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Cameron; Place-names of Derbyshire; A.D. Mills; Dictionary of English Place-Names
Claybrooke Magna and Parva,'Clay brook'.,"brōc Old English - A brook, a stream.  (Used of a stream with a muddy bed and a visible sediment load.); clǣg Old English - Clay, clayey soil.; magna Latin - Big, great.; parva Latin - Small.","Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names"
Cold Newton,'New farm/settlement'. 'Cold' because of its exposed situation.,cald Middle English - Cold.; nīwe Old English - New.; tūn Old English - An enclosure; a farmstead; a village; an estate.,"A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Cox; The Place-names of Leicestershire; Watts; Cambridge Dictionary of English Place-names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD)"
Cold Overton,'Ridge farm/settlement'. 'Cold' because of its exposed situation.,"ofer Old English - The tip of a promontory, a flat-topped ridge.; tūn Old English - An enclosure; a farmstead; a village; an estate.","A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD)"
Coleorton,'Ridge farm/settlement'. 'Coal/charcoal' was first appended in 1443.,"col Old English - Coal, especially charcoal.; ofer Old English - The tip of a promontory, a flat-topped ridge.; tūn Old English - An enclosure; a farmstead; a village; an estate.","A.D. Mills; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names"
Congerstone,'King's farm/settlement'. Spellings reflect strong influence of of ON kunung.,cyning Old English - A king.; tūn Old English - An enclosure; a farmstead; a village; an estate.,"A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD)"
Cosby,"'*Cossa's farm/settlement' or perhaps, less likely, 'Kofsi's farm/settlement'.","bȳ Old Norse - A farmstead, a village.; Personal name (Old English) Old English - Personal name; Personal name (Old Norse) Old Norse - Personal name","E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Cossington,'Farm/settlement connected with Cusa/*Cosa' or 'Cusa's/Cosa's farm/settlement'.,"-ing- Old English - Connective particle, linking a first element to a final element.; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.","Cox; The Place-names of Leicestershire; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names"
Coston,'Katr's farm/settlement'.,Personal name (Old Norse) Old Norse - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Cox; The Place-names of Leicestershire"
Cotes,'Cottages'.,"cot Old English - A cottage, a hut, a shelter, a den.","E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Cox; The Place-names of Leicestershire; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD)"
Cotesbach,'Cott's valley-stream'.,bǣce Old English - A beach.; beche Middle English - A stream in a valley.; Personal name (Old English) Old English - Personal name,"Watts; Cambridge Dictionary of English Place-names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names"
Countesthorpe,"'Countess' outlying farm/settlement'. It was, apparently, at one time part of the dower of the Countesses of Leicestershire.","contasse Middle English - A countess.; þorp Old Norse - A secondary settlement, a dependent outlying farmstead or hamlet.","A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); Watts; Cambridge Dictionary of English Place-names"
Cranoe,'Crows' hill-spur'.,crāwe Old English - A crow.; hōh Old English - A heel; a sharply projecting piece of ground.,"A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD)"
Croft,"'Machine', probably in reference to a mill, water-wheel or the like.","cræft Old English - A machine, an engine (perhaps some kind of mill).","Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD)"
Cropston,"'Kroppr's farm/settlement' or perhaps, '*Cropp's farm/settlement'.",Personal name (Old English) Old English - Personal name; Personal name (Old Norse) Old Norse - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD)"
